Artist,Song,SongID,Popularity,Lyrics,href,lyricurl
Dean Lewis,How Do I Say Goodbye,5hnGrTBaEsdukpDF6aZg8a,87,"So how do I say goodbyeAnd I promise, if you goI will make sure she's alrightTo someone who's been with me for my whole damn life?",https://api.spotify.com/v1/tracks/5hnGrTBaEsdukpDF6aZg8a,https://genius.com/Dean-lewis-how-do-i-say-goodbye-lyrics
Imagine Dragons,Bones,54ipXppHLA8U4yqpOFTUhr,86,"Never gonna get me out aliveI will live a thousand million lives (Ooh-ooh)My patience is waning, is this entertaining?Our patience is waning, is this entertaining?I-I-I got this feeling, yeah, you knowWhere I'm losing all control'Cause there's magic in my bonesI-I-I got this feeling in my soulGo ahead and throw your stones'Cause there's magic in my bonesThere was never wrong 'til there was right (Ooh-ooh)My patience is waning, is this entertaining?Our patience is waning, is this entertaining?I-I-I got this feeling, yeah, you knowWhere I'm losing all control'Cause there's magic in my bones (In my bones)I-I-I got this feeling in my soulGo ahead and throw your stones'Cause there's magic in my bones'Cause there's magic in my bonesI-I-I got this feeling, yeah, you knowWhere I'm losing all control'Cause there's magic in my bones (Magic in my bones)I-I-I got this feeling in my soul (Soul)Go ahead and throw your stones'Cause there's magic in my bones",https://api.spotify.com/v1/tracks/54ipXppHLA8U4yqpOFTUhr,https://genius.com/Imagine-dragons-bones-lyrics
Imanbek,Belly Dancer,7fZBQnc0zXwVybgCIrQQil,87,,https://api.spotify.com/v1/tracks/7fZBQnc0zXwVybgCIrQQil,https://genius.com/Imanbek-and-byor-belly-dancer-lyrics
David Guetta,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,98,,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,https://genius.com/Spotify-new-music-friday-08-26-22-annotated
RAYE,Escapism.,5Z2MiIZ5I3jJvvmeWMLbOQ,93,"I don't trust any of these bitches I'm withIn the back of the taxi sniffin' cocaineNow it's back to the introLast night really was the cherry on the cakeAnd I'm already actin' like a dick, know what I mean?So you might as well stick it inI'll be naked when I leave and I was naked when I came, yeahSo, you'll run, yeahBut you'll never escapeSunset in the mazeI don't wanna feel how I did last nightI don't wanna feel how I did last nightI left everyone I love on read (Uh-huh)I remember nothing so there's nothing to regret (Uh-uh)Other than this 4/4 kick drum poundin' in my head",https://api.spotify.com/v1/tracks/5Z2MiIZ5I3jJvvmeWMLbOQ,https://genius.com/Raye-escapism-lyrics
Banx & Ranx,Headphones,1R7WcoUBGKJY15HGQxb62G,65,,https://api.spotify.com/v1/tracks/1R7WcoUBGKJY15HGQxb62G,https://genius.com/Banx-and-ranx-and-reve-headphones-lyrics
Sam Smith,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,100,,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,https://genius.com/Spotify-new-music-friday-09-23-22-annotated
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),38T0tPVZHcPZyhtOcCP7pF,90,"[Chorus]Don't ever say it's over if I'm breathin'Racin' to the moonlight and I'm speedin'I'm headed to the stars, ready to go farI'm star walkin'Don't ever say it's over if I'm breathin'Racin' to the moonlight and I'm speedin'I'm headed to the stars, ready to go farI'm star walkin' (I'm star walkin')Never listened to replies, learned a lesson from the wiseYou should never take advice from a nigga that ain't tryGotta watch 'em bleed, too[Chorus]Don't ever say it's over if I'm breathin'Racin' to the moonlight and I'm speedin'I'm headed to the stars, ready to go farI'm star walkin'Don't ever say it's over if I'm breathin'Racin' to the moonlight and I'm speedin'I'm headed to the stars, ready to go farI'm star walkin' (I'm star walkin')Prove 'em wrong every time 'til it's normalWhy worship legends when you know that you can join 'em?They put me down, but I never cried out, ""Why me?""Word from the wise, don't put worth inside a niggathat ain't tryGotta watch 'em bleed, too[Chorus]Don't ever say it's over if I'm breathin'Racin' to the moonlight and I'm speedin'I'm headed to the stars, ready to go farI'm star walkin'Don't ever say it's over if I'm breathin'Racin' to the moonlight and I'm speedin'I'm headed to the stars, ready to go farI'm star walkin' (I'm star walkin')Don't ever say it's over if I'm breathin'Racin' to the moonlight and I'm speedin'I'm headed to the stars, ready to go farI'm star walkin'",https://api.spotify.com/v1/tracks/38T0tPVZHcPZyhtOcCP7pF,https://genius.com/Lil-nas-x-star-walkin-league-of-legends-worlds-anthem-lyrics
Black Eyed Peas,DON'T YOU WORRY,0gYXw7aPoybWFfB7btQ0eM,82,"Eso es lo que tú y yo vamo' a hacerWork hard, play hard, that's the only wayI'ma live my life like everyday's a holiday (Ey)Time to celebrate (Ey), time to elevate",https://api.spotify.com/v1/tracks/0gYXw7aPoybWFfB7btQ0eM,https://genius.com/Black-eyed-peas-dont-you-worry-lyrics
Meghan Trainor,Made You Look,0QHEIqNKsMoOY5urbzN48u,95,,https://api.spotify.com/v1/tracks/0QHEIqNKsMoOY5urbzN48u,https://genius.com/Meghan-trainor-made-you-look-lyrics
